Honeybee,Butterfly,Date
1.01,5.62,7_Oct_2010
1.57,4.05,7_Oct_2010
7.97,55.03,7_Oct_2010
1.35,1.15,7_Oct_2010
3.48,5.02,7_Oct_2010
2.21,2.02,7_Oct_2010
11.05,36.41,7_Oct_2010
2.27,50.45,7_Oct_2010
2.67,21.45,7_Oct_2010
3.31,14.61,7_Oct_2010
3.78,1.54,7_Oct_2010
3.81,46.67,7_Oct_2010
1.24,42.3,7_Oct_2010
1.95,6.67,7_Oct_2010
3.22,54.91,7_Oct_2010
9.28,94.67,7_Oct_2010
6.31,33.12,7_Oct_2010
1.68,35.22,7_Oct_2010
1.15,59.41,7_Oct_2010
4.36,26.27,7_Oct_2010
1.98,10.92,7_Oct_2010
4.26,57.52,7_Oct_2010
1.17,1.91,7_Oct_2010
1.14,2.67,7_Oct_2010
2.19,20.33,7_Oct_2010
1.27,55.03,7_Oct_2010
2.94,27.32,7_Oct_2010
2.73,3.1,7_Oct_2010
2.39,5.16,7_Oct_2010
2.33,22.83,7_Oct_2010
2.4,36.18,7_Oct_2010
1.63,42.71,7_Oct_2010
2.46,36.02,7_Oct_2010
2.4,56.07,7_Oct_2010
3.28,21.52,7_Oct_2010
1.72,26.58,7_Oct_2010
2.32,2.44,7_Oct_2010
3.69,48.29,7_Oct_2010
2.35,9.41,7_Oct_2010
3.8,90.61,7_Oct_2010
3.71,42.81,12_Oct_2010
3.23,1.1,12_Oct_2010
6.62,24.14,12_Oct_2010
2.23,16.75,12_Oct_2010
1.17,19.1,12_Oct_2010
4.01,15.44,12_Oct_2010
3.57,5.51,12_Oct_2010
7.63,17.45,12_Oct_2010
1.69,2.13,12_Oct_2010
1.8,9.95,12_Oct_2010
1.59,15.1,12_Oct_2010
2.32,8.36,12_Oct_2010
4.52,13.7,12_Oct_2010
5.18,58.14,12_Oct_2010
3.58,3.91,12_Oct_2010
1.51,36.22,12_Oct_2010
0.95,28.5,12_Oct_2010
3.93,41.82,12_Oct_2010
1.65,35.12,12_Oct_2010
2.04,16.64,12_Oct_2010
2.07,24.07,12_Oct_2010
2.6,12.21,12_Oct_2010
2.12,3.31,12_Oct_2010
2.1,38.07,12_Oct_2010
3.04,3.23,12_Oct_2010
3.86,22.29,12_Oct_2010
1.3,47.92,12_Oct_2010
2.05,12.12,12_Oct_2010
3.14,59.5,12_Oct_2010
5.01,77.43,12_Oct_2010
1.23,1.46,12_Oct_2010
1.78,21.1,12_Oct_2010
3.21,41.42,12_Oct_2010
3.64,66.77,12_Oct_2010
1.37,36.95,12_Oct_2010
5.36,3.62,12_Oct_2010
5.56,84.29,12_Oct_2010
0.95,60.05,12_Oct_2010
6.43,48.82,12_Oct_2010
3.87,42.28,12_Oct_2010
